ART CODE,TITLE,TYPE,YEAR,ARTIST,ADDRESS,LOCATION,X,Y,IMAGE_URL,JPG_URL
625.01,Communications Center Photo Panel-Medical,photographs (visual works),2009,Karen Mazur,11510 Sunset Gardens SW,Communications Center,-106.758614,35.064199,http://www.flickr.com/photos/abqpublicart/6837008471/in/photostream/,http://farm8.staticflickr.com/7012/6837008471_8664b12fce_m.jpg
625.02,Communications Center Photo Panel-Police,photographs (visual works),2009,Karen Mazur,11510 Sunset Gardens SW,Communications Center,-106.758614,35.064199,http://www.flickr.com/photos/abqpublicart/6837009253/in/photostream/,http://farm8.staticflickr.com/7167/6837009253_c8a28e6c24_m.jpg
625.03,Communications Center Photo Panel-Call Center,photographs (visual works),2009,Karen Mazur,11510 Sunset Gardens SW,Communications Center,-106.758614,35.064199,http://www.flickr.com/photos/abqpublicart/6837009601/in/photostream/,http://farm8.staticflickr.com/7169/6837009601_b51b81ef93_m.jpg
626,Angelitos de Caridad,public sculpture,2012,Linda Dabeau,599 Walter St NE,Martineztown Park ,-106.6391551,35.08751194,http://www.flickr.com/photos/abqpublicart/6871934799/,http://farm8.staticflickr.com/7051/6871934799_67633461b9_m.jpg
627,American Dog,public sculpture,2009,Dale Rodgers,8920 Lomas Blvd. NE,East Side Animal Care Center,-106.544816,35.085944,http://www.flickr.com/photos/abqpublicart/6264420111/,http://farm7.staticflickr.com/6174/6264420111_986d3159ea_m.jpg
628,Intellect,paintings,2011,Alex Outka,400 Marquette NW,City/County Government Building,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/6887997293/,http://farm8.staticflickr.com/7196/6887997293_a9e74c604e_m.jpg
628.01,Yin and Yang,drawings,2011,Dominic Romero,400 Marquette NW,City/County Government Building,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/6887997395/in/photostream/,http://farm8.staticflickr.com/7051/6887997395_c97572ce7b_m.jpg
628.02,Untitled,drawings,2011,Amanda Sinclair,400 Marquette NW,City/County Government Building,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/6887997511/in/photostream/,http://farm8.staticflickr.com/7059/6887997511_2a95494634_m.jpg
628.03,Economy,computer drawings,2011,Miguel Gomez,400 Marquette NW,City/County Government Building,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/6887997609/in/photostream/,http://farm8.staticflickr.com/7060/6887997609_b82d20368a_m.jpg
628.04,Happy Coincidence,photographs,2011,Tracy  Bullington,400 Marquette NW,City/County Government Building,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/6887997711/in/photostream,http://farm8.staticflickr.com/7060/6887997711_2cbdcba185_m.jpg
630,Portable Grove,public sculpture,2010,Stuart Frost,903 10th St SW,Rio Grande Zoological Park,-106.6608962,35.07898,http://www.flickr.com/photos/abqpublicart/6837034831/,http://farm8.staticflickr.com/7027/6837034831_f44fc7cfd3_m.jpg
631,Native Bird,collage,2009,Brooke Steiger,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4147527861/,http://farm3.staticflickr.com/2741/4147527861_a0a77c3808_m.jpg
631.01,Libra,collage,2009,Brooke Steiger,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4148287368/in/photostream/,http://farm3.staticflickr.com/2737/4148287368_79c085cd48_m.jpg
631.02,Boots & Saddle Blanket,drawing,2009,Daryl Wilson,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4147528013/,http://farm3.staticflickr.com/2487/4147528013_8363cbdf7a_m.jpg
631.05,Morning Pond #995,painting,2009,Jane Abrams,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4148288434/in/photostream/,http://farm3.staticflickr.com/2695/4148288434_af1f56fca8_m.jpg
631.06,#11 Altiplano,weavings,2009,Joan Weissman,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4148288522/in/photostream/,http://farm3.staticflickr.com/2615/4148288522_3e581a2696_m.jpg
631.07,Bound,constructions,2009,Katrina Lasko,115 4th St. NW,Creative Albuquerque,-106.651687,35.085303,http://www.flickr.com/photos/abqpublicart/4147528775/in/photostream/,http://farm3.staticflickr.com/2765/4147528775_ebafcebd76_m.jpg
631.08,Entangled,constructions,2009,Katrina Lasko,115 4th St. NW,Creative Albuquerque,-106.651687,35.085303,http://www.flickr.com/photos/abqpublicart/4147528859/in/photostream/,http://farm3.staticflickr.com/2514/4147528859_3930d9b1c3_m.jpg
631.09,Waterfall of the New Moon,wall pieces,2009,Harriette Lawler,4645 Pitt St NE,Bear Canyon Senior Center,-106.5306,35.1341,http://www.flickr.com/photos/abqpublicart/4148288236/,
631.1,Untitled #22,photographs (visual works),2009,Leigh Langwell,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4148289016/in/photostream/,http://farm3.staticflickr.com/2512/4148289016_822e18c028_m.jpg
631.11,Sweet Tweets,digital images,2009,Lisa Gillett,400 Marquette NW,City/County Government building,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4148289370/in/photostream/,http://farm3.staticflickr.com/2715/4148289370_0df06881eb_m.jpg
631.12,Albuquerque Volcano,painting,2009,Monique Jansen Belitz,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4148289412/in/photostream/,http://farm3.staticflickr.com/2534/4148289412_44750bedf4_m.jpg
631.13,Essence,photographs (visual works),2009,Patrick Nagatani,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4147529777/in/photostream/,http://farm3.staticflickr.com/2762/4147529777_49ecc0b18f_m.jpg
